Artikelnummer;Bezeichnung;EAN;NETTO
710301;Neon Powder pink;4002299103017;1.48
710306;Neon Powder gelb;4002299103062;1.48
710307;Neon Powder grün;4002299103079;1.48
710758;Glitterstifte m. Spitzer;4002299107589;1.88
711142;Glitter Make-up rot;4002299111425;1.57
711145;Glitter Make-up blau;4002299111456;1.57
711146;Glitter Make-up gelb-irisierend;4002299111463;1.57
711147;Glitter Make-up grün;4002299111470;1.57
711150;Glitter Make-up silber;4002299111500;1.57
711151;Glitter Make-up gold;4002299111517;1.57
711156;Glitter Make-up bunt;4002299111562;1.57
711157;Glitter Make-up regenbogen;4002299111579;1.57
711442;Action-Gel Glitter rot;4002299114426;1.95
711445;Action-Gel Glitter blau;4002299114457;1.95
711447;Action-Gel Glitter grün;4002299114471;1.95
711450;Action-Gel Glitter silber;4002299114501;1.95
711451;Action-Gel Glitter gold;4002299114518;1.95
711456;Action-Gel Glitter bunt;4002299114563;1.95
712105;Trio Glitter silber-rot-blau;4002299121059;1.8
712107;Trio Glitter gold-grün-pink;4002299121073;1.8
712108;Trio Glitter Ice Edition;4002299121080;1.8
712109;Trio Glitter Fairy Edition;4002299121097;1.8
712150;Trio Glitter silber-gold-pink;4002299121509;1.8
713200;Skinjewels/Diamonds, 40 Stk., Display;4002299132000;54
713210;Skinjewels crystal ;4002299132109;1.35
713220;Skinjewels pastel;4002299132208;1.35
713230;Skinjewels oriental ;4002299132307;1.35
713250;Diamonds crystal ;4002299132505;1.35
713260;Diamonds multicolor ;4002299132604;1.35
713270;Metallic Diamonds;4002299132703;1.35
713290;Crystal Tears;4002299132901;1.35
713301;Festival Bindi: Flamingo Sparkle;4002299133014;4.5
713302;Festival Bindi: Moonlight;4002299133021;4.5
713303;Festival Bindi: Jungle Spirit;4002299133038;4.5
713304;Festival Bindi: Cotton Candy;4002299133045;4.5
713305;Festival Bindi: Aquarius Eyes;4002299133052;4.5
715300;Glitter Nail Polish, 20 Stk., Display;4002299153005;21.8
715350;Glitter Nail Polish silber;4002299153500;1.09
715351;Glitter Nail Polish gold;4002299153517;1.09
715357;Glitter Nail Polish regenbogen;4002299153579;1.09
715800;Duo-Nail Polish, 15 Stk., Display;4002299158000;24.9
715801;Duo-Nail Polish pink;4002299158017;1.66
715802;Duo-Nail Polish rot;4002299158024;1.66
715803;Duo-Nail Polish schwarz;4002299158031;1.66
715805;Duo-Nail Polish blau;4002299158055;1.66
715807;Duo-Nail Polish grün;4002299158079;1.66
716816;Neon Fingernägel gelb ;4002299168160;1.52
716817;Neon Fingernägel grün ;4002299168177;1.52
716818;Neon Fingernägel blau ;4002299168184;1.52
716819;Neon Fingernägel orange ;4002299168191;1.52
716820;Neon Fingernägel pink ;4002299168207;1.52
716850;Naildesigner Karneval ;4002299168504;0.77
716855;Naildesigner Fan;4002299168559;0.77
716860;Fan Diamonds;4002299168603;1.35
716870;Fan Brows;4002299168702;2.42
716880;Fan Sticker Classic;4002299168801;3.29
716885;Fan Sticker Unicorn;4002299168856;1.75
718003;Wimpern Echthaar Deluxe;4002299180032;2.79
718040;Glitter Wimpern, 10 Stk., Display;4002299180407;24.5
718045;Glitter Wimpern blau;4002299180452;2.45
718050;Glitter Wimpern silber;4002299180506;2.45
718051;Glitter Wimpern gold;4002299180513;2.45
718057;Glitter Wimpern regenbogen;4002299180575;2.45
718070;Rainbow Wimpern, 10 Stk., Display;4002299180704;29.5
718071;Rainbow Wimpern pink;4002299180711;2.99
718072;Rainbow Wimpern rot & silber;4002299180728;2.99
718073;Rainbow Wimpern schwarz;4002299180735;2.99
718074;Rainbow Wimpern weiß;4002299180742;2.99
718075;Rainbow Wimpern blau & silber;4002299180759;2.99
718076;Rainbow Wimpern gelb;4002299180766;2.99
718077;Rainbow Wimpern grün & silber;4002299180773;2.99
718078;Rainbow Wimpern orange;4002299180780;2.99
718080;Wimpern Perlen silber;4002299180803;2.99
718081;Wimpern Perlen pink;4002299180810;2.99
718090;Wimpern Flowers silber;4002299180902;2.99
718092;Wimpern Flowers rot;4002299180926;2.99
718103;Wimpern Echthaar Deluxe Strahlen;4002299181039;2.79
718109;Flüssigblutkapseln;82686181099;2.15
718116;Vampir Blut, professionelles Theaterblut;82686181167;1.24
718138;Extra dickes Blut;82686181389;1.39
