Artikelnummer;Bezeichnung;Netto;EAN
F442000;GIOTTO Decor Wachsblöcke K12 aufhängbar;5,000.00;8000825442001
F443000;GIOTTO Decor Super Cera K10 aufhängbar m. Schaber;4,350.00;8000825013041
F452900;GIOTTO Decor Metal K05 aufhängbar;4,200.00;8000825452901
F453300;GIOTTO Decor Materials K06 aufhängbar;4,300.00;8000825453304
F453400;GIOTTO Decor Materials K12 aufhängbar;7,800.00;8000825453403
F460700;GIOTTO be-bè Super-Fingermalfarbe 100 ml K03;8,890.00;8000825460708
F461200;GIOTTO be-bè Super-Fasermaler V36;12,500.00;8000825461200
F461300;GIOTTO be-bè Super-Farbstift V36 Spitzer;22,640.00;8000825461309
F462400;GIOTTO be-bè Spitzer V10;450;8000825462405
F462501;GIOTTO be-bè Super-Modelliermasse V03 gelb-blau-rot;3,050.00;8000825462504
F462502;GIOTTO be-bè Super-Modelliermasse V03 orange-magenta-grün;3,050.00;8000825462511
F462503;GIOTTO be-bè Super-Modelliermasse V03 weiß-dunkelblau-dunkelgrün;3,050.00;8000825462528
F462700;GIOTTO be-bè Super-Kreide V40;14,100.00;8000825462702
F462800;GIOTTO be-bè Super-Wandtafelkreide S10;8,210.00;8000825462801
F462900;GIOTTO be-bè Knetmasse soft + Werkzeug S3;6,250.00;8000825460906
F463001;GIOTTO be-bè Super-Modelliermasse rot;1,680.00;8000825463006
F463002;GIOTTO be-bè Super-Modelliermasse grün;1,680.00;8000825463013
F463003;GIOTTO be-bè Super-Modelliermasse orange;1,680.00;8000825464034
F463004;GIOTTO be-bè Super-Modelliermasse türkis;1,680.00;8000825463037
F463006;GIOTTO be-bè Super-Modelliermasse gelb;1,680.00;8000825463051
F463007;GIOTTO be-bè Super-Modelliermasse braun;1,680.00;8000825463075
F463008;GIOTTO be-bè Super-Modelliermasse weiß;1,680.00;8000825464010
F463009;GIOTTO be-bè Super-Modelliermasse blau;1,680.00;8000825464058
F463100;GIOTTO be-bè Super-Modelliermasse Becher V03;4,110.00;8000825463105
F463200;GIOTTO be-bè Super-Modelliermasse Schulbox;13,500.00;8000825463204
F464000;GIOTTO be-bè Super-Modelliermasse Großpack 18 x 220g sortiert;1,720.00;8000825464096
F464100;GIOTTO be-bè Egg Stifthalter;9,300.00;8000825464102
F464200;GIOTTO be-bè Modellierwerkzeuge BL12;4,650.00;8000825464201
F464700;GIOTTO be-bè Modellierwerkzeuge Plastikgefäß V50;17,350.00;8000825464706
F464901;GIOTTO be-bè Knetmasse, 4 x 100 g, (rot, gelb, blau, weiß);4,260.00;8000825464911
F464902;GIOTTO be-bè Knetmasse, 4 x 100 g, (rot, gelb, magenta, grün);4,260.00;8000825464928
F464903;GIOTTO be-bè Knetmasse, 4 x 100 g, (violett, gelb, orange, grün);4,260.00;8000825464935
F465200;GIOTTO be-bè Schnecke mit Stempelrolle;10,300.00;8000825465208
F4655001X;GIOTTO be-bè My Color Pack Rucksack;17,950.00;8000825465505
F465600;"GIOTTO be-bè ""my be-bè farm""";6,400.00;8000825465604
F465700;"GIOTTO be-bè ""my be-bè market""";6,400.00;8000825465703
F465800;GIOTTO be-bè Super-Farbbox;20,900.00;8000825002601
F466200;GIOTTO be-bè Klebestift Blister 20 g;1,650.00;8000825002311
F466300;GIOTTO be-bè  flüssiger Kleber 1000 ml;2,500.00;8000825001864
F466900;"GIOTTO be-bè ""Maxi Set""";18,950.00;8000825002557
F467000;GIOTTO be-bè Super-Modelliermasse V 50 x 50;27,540.00;8000825000140
F467100;GIOTTO be-bè Stick and Color;15,090.00;8000825007248
F467200;GIOTTO be-bè Super-Fingermalfarbe 150 ml K04;8,890.00;8000825006371
F467300;GIOTTO be-bè Straßenmalkreide K06;2,400.00;8000825006326
F467501;GIOTTO be-bè Tempera, 1.000 ml, weiß;2,950.00;8000825005916
F467502;GIOTTO be-bè Tempera, 1.000 ml, gelb;2,950.00;8000825005930
F467508;GIOTTO be-bè Tempera, 1.000 ml, rot;2,950.00;8000825005954
F467510;GIOTTO be-bè Tempera, 1.000 ml, magenta;2,950.00;8000825005978
F467512;GIOTTO be-bè Tempera, 1.000 ml, grün;2,950.00;8000825005992
F467515;GIOTTO be-bè Tempera, 1.000 ml, cyan;2,950.00;8000825006012
F467523;GIOTTO be-bè Tempera, 1.000 ml, braun;2,950.00;8000825006036
F467524;GIOTTO be-bè Tempera, 1.000 ml, schwarz;2,950.00;8000825006050
F467600;GIOTTO be-bè Super-Modelliermasse V05 Eimer;11,900.00;8000825005770
F467800;GIOTTO be-bè Tempera, 8 x 1.000 ml, farbig sortiert;23,600.00;8000825006814
F467900;GIOTTO be-bè Fasermaler, Set mit 7 Farben + 1 Zauberstift;5,620.00;8000825008566
F468100;GIOTTO be-bè Fingermalfarben, Set mit 6 x 100 ml, farbig sortiert;13,870.00;8000825009846
F468200;GIOTTO be-bè Kneteimerset Feuerwehrmann;10,350.00;8000825010347
F468400;GIOTTO be-bè Knetset Pizza;6,000.00;8000825009242
F468600;GIOTTO be-bè Knetset Cup Cake;6,000.00;8000825010019
F468700;GIOTTO be-bè Spaghetti;6,280.00;8000825013003
F468800;"GIOTTO be-bè ""My Farm"" im Kunststoffeimer";7,570.00;8000825468803
F468900;GIOTTO be-bè Knetmassem 30 x 100 g im Display, farbig sortiert;1,890.00;8000825013218
F469300;GIOTTO be-bè Kneteimerset Elfe;10,500.00;8000825019036
F469400;GIOTTO be-bè Knetset My Chef;13,350.00;8000825018299
F469500;GIOTTO be-bè Super-Fasermaler RD10;4,000.00;8000825018916
F469600;GIOTTO be-bè Super-Farbstift K06;4,550.00;8000825019005
F469700;GIOTTO be-bè Super-Farbstift K12;7,300.00;8000825018978
F469800;GIOTTO be-bè Super-Fasermaler K06;3,120.00;8000825018534
F469900;GIOTTO be-bè Super-Fasermaler K12;5,380.00;8000825018565
F470000;GIOTTO be-bè Knetset My Ice Cream;7,800.00;8000825020049
F470100;GIOTTO Make Up Schminkfarben Set Basic;10,000.00;8000825470103
F470200;GIOTTO Make Up Kosmetikstifte Set Basic;5,800.00;8000825470202
F470401;GIOTTO Make Up Glitter Sticks gold;2,300.00;8000825470400
F470402;GIOTTO Make Up Glitter Sticks silber;2,300.00;8000825470424
F470403;GIOTTO Make Up Glitter Sticks multiglitter;2,300.00;8000825470448
F470800;GIOTTO Make Up Kosmetikstifte Set Special;5,800.00;8000825470806
F471100;GIOTTO Make Up Schminkfarben Set Special;10,000.00;8000825471100
F471400;GIOTTO Make Up Kosmetikspitzer K20;560;8000825471414
F471600;GIOTTO Make Up Schminkstifte im 20er Display, farbig sortiert, Blister;1,700.00;8000825471605
F472000;PARTY SET 6x GIOTTO BEBE SEIFENBLASEN;3,350.00;8000825030666
F472100;GIOTTO be-bè Wachsmalstifte, 12er Runddose, farbig sortiert;4,000.00;8000825024238
F473101;GIOTTO MAKE UP Kinderschminkstift, Blister mit 1 Stk., Weiß;1,250.00;8000825029745
F473103;GIOTTO MAKE UP Kinderschminkstift, Blister mit 1 Stk., Gelb;1,250.00;8000825029776
F473111;GIOTTO MAKE UP Kinderschminkstift, Blister mit 1 Stk., Orange;1,250.00;8000825029806
F473112;GIOTTO MAKE UP Kinderschminkstift, Blister mit 1 Stk., Rot;1,250.00;8000825029837
F473132;GIOTTO MAKE UP Kinderschminkstift, Blister mit 1 Stk., Braun;1,250.00;8000825030901
F473136;GIOTTO MAKE UP Kinderschminkstift, Blister mit 1 Stk., Schwarz;1,250.00;8000825029868
F473600;"GIOTTO MAKE UP Kinderschminkstifte, Blister mit 3 Stk., ""Metall""";3,250.00;8000825030987
F473700;"GIOTTO MAKE UP Kinderschminkstifte, Blister mit 3 Stk., ""Tiger""";3,250.00;8000825030987
F473800;"GIOTTO MAKE UP Kinderschminkstifte, Blister mit 3 Stk., ""Prinzessin""";3,250.00;8000825031045
F473900;"GIOTTO MAKE UP Kinderschminkstifte, Blister mit 3 Stk., ""Vampir""";3,250.00;8000825031076
F474200;GIOTTO MAKE UP Kinderschminkstifte, Classic-Set, 6er Faltschachtel;6,000.00;8000825031168
F474300;GIOTTO MAKE UP Kinderschminkstifte, Metall-Set, 6er Faltschachtel;6,000.00;8000825031199
F474701;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Weiß;1,400.00;8000825030123
F474703;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Gelb;1,400.00;8000825030154
F474707;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Rosa;1,400.00;8000825030185
F474711;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Orange;1,400.00;8000825032943
F474712;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Rot;1,400.00;8000825030215
F474714;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Magenta;1,400.00;8000825030246
F474717;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Hellgrün;1,400.00;8000825030277
F474718;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Grün;1,400.00;8000825030307
F474722;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Hellblau;1,400.00;8000825030338
F474725;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Blau;1,400.00;8000825030369
F474727;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Violett;1,400.00;8000825030390
F474732;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Braun;1,400.00;8000825030444
F474736;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Schwarz;1,400.00;8000825030482
F474737;GIOTTO MAKE UP Schminke, Blister 1 x 5 ml, Lila;1,400.00;8000825030550
F474901;GIOTTO MAKE UP Schminke, Blister 1 x 15 ml, Weiß;2,800.00;8000825032684
F474903;GIOTTO MAKE UP Schminke, Blister 1 x 15 ml, Gelb;2,800.00;8000825032653
F474911;GIOTTO MAKE UP Schminke, Blister 1 x 15 ml, Orange;2,800.00;8000825032622
F474912;GIOTTO MAKE UP Schminke, Blister 1 x 15 ml, Rot;2,800.00;8000825032585
F474932;GIOTTO MAKE UP Schminke, Blister 1 x 15 ml, Braun;2,800.00;8000825032554
F474936;GIOTTO MAKE UP Schminke, Blister 1 x 15 ml, Schwarz;2,800.00;8000825032523
F475500;"GIOTTO MAKE UP Schminke, Blister 3 x 5 ml , ""Metall""";3,700.00;8000825030635
F475700;"GIOTTO MAKE UP Schminke, Blister 3 x 5 ml , ""Dino""";3,900.00;8000825032455
F475900;"GIOTTO MAKE UP Schminke, Blister 3 x 5 ml , ""Schmetterling""";3,900.00;8000825032394
F476100;"GIOTTO MAKE UP Schminke, Blister 3 x 5 ml , ""Hexe""";3,900.00;8000825032332
F476300;GIOTTO MAKE UP Schminke, Set 6 x 5 ml, Classic-Set;7,400.00;8000825032271
F476500;GIOTTO MAKE UP Schminke, Set 6 x 5 ml, Metall-Set;7,400.00;8000825032189
F479200;GIOTTO be-bè Super-Wachsmalkreiden K10;3,490.00;8000825018596
F479300;GIOTTO be-bè My Bunny - Knetpresse;12,300.00;8000825019050
F479400;GIOTTO be-bè Super-Farbstift RD10;6,000.00;8000825018947
F494700;GIOTTO Decor Textile Schoolbox V48;23,660.00;8000825494703
F494800;GIOTTO Decor Textilmarker K06 aufhängbar;3,980.00;8000825495007
F494900;GIOTTO Decor Textilmarker K12 aufhängbar;7,240.00;8000825495106
F501200;DAS Vernidas Professional 12 x 33 ml;2,350.00;8000144002122
F504400;GIOTTO Decor Acrylic Metalldisplay 144 (6 x 24 Farben);113,760.00;8000825552922
F510101;GIOTTO Patplume Modelliermasse gelb;2,000.00;8000144510108
F510102;GIOTTO Patplume Modelliermasse rot;2,000.00;8000144510122
F510103;GIOTTO Patplume Modelliermasse blau;2,000.00;8000144510139
F510104;GIOTTO Patplume Modelliermasse grün;2,000.00;8000144510146
F510105;GIOTTO Patplume Modelliermasse schwarz;2,000.00;8000144510153
F510106;GIOTTO Patplume Modelliermasse braun;2,000.00;8000144510160
F510107;GIOTTO Patplume Modelliermasse weiß;2,000.00;8000144510177
F510108;GIOTTO Patplume Modelliermasse hellgrün;2,000.00;8000144510184
F510109;GIOTTO Patplume Modelliermasse rosa;2,000.00;8000144510313
F510110;GIOTTO Patplume Modelliermasse orange;2,000.00;8000144510320
F510111;GIOTTO Patplume Modelliermasse fleischfarben;2,000.00;8000144510337
F510112;GIOTTO Patplume Modelliermasse hellblau;2,000.00;8000144510344
F510113;GIOTTO Patplume Modelliermasse grau;2,000.00;8000144510801
F510114;GIOTTO Patplume Modelliermasse violett;2,000.00;8000144511044
F510800;GIOTTO Pongo Plastillin V10 50 g;2,080.00;8000144382408
F511900;GIOTTO Patplume Modelliermasse V12x150;12,240.00;8000144511914
F512200;GIOTTO Patplume Modelliermasse V12x350;23,460.00;8000144512201
F512500;DAS Vernidas Klarlack, 250 ml;5,020.00;8000144004225
F512900;GIOTTO Patplume Modelliermasse V10 x 20 g;2,650.00;8000144001231
F513100;GIOTTO Patplume Modelliermasse V18 x 20 g;4,370.00;8000144001255
F513200;GIOTTO Patplume Modelliermasse V8 x 33 g neon;2,780.00;8000144001279
F513300;GIOTTO Patplume Modelliermasse V10 x 50 g;3,740.00;8000144001293
F514100;GIOTTO Pongo Plastillin V12 x 250 g;11,220.00;8000144001149
F514200;GIOTTO Pongo Plastillin Primärfarben V12 x 450 g;16,930.00;8000144001217
F514300;GIOTTO Pongo Plastillin V12 x 450 g;16,000.00;8000144001194
F514401;GIOTTO Pongo Plastillin 450 g gelb;1,330.00;8000144000425
F514402;GIOTTO Pongo Plastillin 450 g rot;1,330.00;8000144000449
F514403;GIOTTO Pongo Plastillin 450 g blau;1,330.00;8000144000463
F514404;GIOTTO Pongo Plastillin 450 g grün;1,330.00;8000144000500
F514405;GIOTTO Pongo Plastillin 450 g schwarz;1,330.00;8000144000524
F514406;GIOTTO Pongo Plastillin 450 g braun;1,330.00;8000144000548
F514407;GIOTTO Pongo Plastillin 450 g weiß;1,330.00;8000144000562
