Artikelnummer;EAN;Bezeichnung;NETTO
I58681NP;6941057401119;Shell Scavenger Bucket;2.99 €
I58755EU;6941057404806;"Lounge ""Eis am Stiel"", 178x77cm";3.98 €
I58757EU;6941057404813;"Lounge ""Eistüte"" 178x81cm";3.98 €
I58771EU;6941057413334;"Float ""HotDog"", 180x89cm";9.48 €
I58776EU;6941057408613;"Float ""Potato Chips"" 178x140cm";12.98 €
I58778EU;6941057413365;"Float ""Infused sparkling"" 178x91cm";9.98 €
I58781EU;6941057413396;"Badeinsel ""Erbeere"" 168x142cm";12.48 €
I58786EU;6941057413440;"Lounge ""Engelsflügel"" 251x160cm";25.05 €
I58802EU;6941057408903;Lounge King Kool;7.92 €
I58836EU;6941057402369;Lounge Mesh Mat;15.87 €
I58859EU;6941057458595;"Lounge ""Sit´n Float"", 2 farbig sortiert, 152x99cm";6.49 €
I58883NP;6941057458830;"Lounge ""Sit´n"" mit Getränkehalter, ab 8 Jahre, Ø 119cm";12.86 €
I58890EU;6941057458908;"Lounge ""18-Pocket Fashion"", 3 farbig sortiert, 188x71cm";7.75 €
I58924NP;6941057459240;Pool Sunset Glow, Wasserbedarf 56l, Alter: 1-3;3.74 €
I59030NP;6941057450308;"Wasserball ""Glossy"", ab 3 Jahre, Ø 61cm";0.82 €
I59040NP;6941057450407;"Wasserball ""Lively Print"", ab 3 Jahre, 3 fach sortiert, Ø 51cm";0.87 €
I59223NP;6941057407418;"Schwimmring ""Fish"", 3-6 Jahre, 2-fach sort., 83x81cm";1.48 €
I59230NP;6941057452302;"Schwimmring ""Lively Print"" 3-6 Jahre, 3 fach sort., Ø 51cm";0.77 €
I59242NP;6941057452425;Schwimmring transparent, 6-10 Jahre, 3 fach sort., Ø 61cm;1.46 €
I59256NP;6941057401126;"Schwimmreifen ""Stargaza"", ab 9 Jahre, mit Haltegriffen, 3 fach sort., Ø 91cm";2.53 €
I59258NP;6941057452586;"Schwimmreifen ""High Gloss"", ab 8 Jahre, mit Haltegriffen, 3 fach sort., Ø 76cm";2.87 €
I59262NP;6941057452623;"Schwimmreifen ""Neon-Frost"", ab 9 Jahre, 3 fach sortiert, Ø 91cm";1.88 €
I59380NP;6941057453804;"Baby Boot ""Pool-Cruiser"", 3-6 Jahre, 3 fach sort., ca 110x100cm";3.20 €
I59416NP;6941057402420;"Pool 3-Ring ""Crysalblue"", Wasserbedarf ca 156l, ab 2 Jahre, 114x25cm";3.89 €
I59421NP;6941057402406;"Pool 2-Ring ""JUST SO FRUITY"", Wasserbedarf ca 150l, ab 2 Jahre, 122x25cm";5.15 €
I59431NP;6941057402390;"Pool 3-Ring ""Fishbowl"", Wasserbedarf ca 248l, ab 2 Jahre, 132x28cm";6.25 €
I59717EU;6941057457178;"Luftmatratze ""Neon Frost"", 3 fach sortiert, 183x76cm";3.48 €
I59720EU;6941057408859;"Luftmatratze ""Fashion"", 3 fach sortiert, 183x69cm";3.46 €
I59895EU;6941057408873;"Lounge ""18-Pocket Suntanner"", 2 fach sortiert, 188x71cm";6.10 €
I66640;6941057413693;Pumpe elektrisch 220V,  mit 3 Verbindungs-Düsen, mit Überhitzungs-Schutz, Pumpleistung ? 650 l/h;9.68 €
I68610;6941057466101;Fußpumpe 30cm (ca. 2l);6.03 €
I68615;6941057466156;Doppelhubpumpe 48 cm;6.95 €
I68757;6941057467573;"Luftbett ""Classic Downy"" blau Twin";8.98 €
I68758;6941057467580;"Luftbett ""Classic Downy"" blau Full";10.48 €
I68759;6941057467597;"Luftbett ""Classic Downy"" blau Queen";12.49 €
I68798;6941057467986;Kasten-Matratze uni SINGLE, 72x189x20cm;6.48 €
I68950;6941057469508;"Luftbett ""Classic Downy""blau"" COT SIZE";6.98 €
