Lieferantennummer;Artikelnummer;Artikelbezeichnung;EAN-Nummer;Warengruppe;Verpackungseinheit;Rabattgruppe;Mehrwertsteuerschlüssel;Netto-/Grundnettopreis;Unverbindliche VK-Preisempfehlung
4007176;15460;WD Rennfahrer Donald im Auto;4007176154601;43;3;0;1;3.78;7.99
4007176;15461;WD Rennfahrer Micky;4007176154618;43;6;0;1;2.68;5.99
4007176;15462;WD Rennfahrer Goofy;4007176154625;43;6;0;1;2.68;5.99
4007176;15463;WD Rennfahrer Minnie;4007176154632;43;6;0;1;2.68;5.99
4007176;15464;WD Rennfahrer Donald;4007176154649;43;6;0;1;2.68;5.99
4007176;41500;Raupe Nimmersatt;4007176415009;43;6;0;1;3.1;6.99
4007176;41501;Raupe Nimmersatt laufend;4007176415016;43;6;0;1;3.1;6.99
4007176;41520;Spardose Raupe Nimmersatt;4007176415207;43;3;0;1;8.2;16.99
4007176;41526;Raupe Nimmersatt stehend SP;4007176415269;43;6;0;1;5.5;10.99
4007176;41527;Raupe Nimmersatt G-Set 4 Fig;4007176415276;43;2;0;1;15.5;29.99
4007176;41600;Drache Digby;4007176416006;43;3;0;1;3.86;7.99
4007176;41602;Fee Fizzy;4007176416020;43;3;0;1;3.86;7.99
4007176;41604;Eichhörnchen Chips;4007176416044;43;6;0;1;3.19;6.99
4007176;41606;Kobold Grumpy;4007176416068;43;6;0;1;3.19;6.99
4007176;41623;Drache Digby Single Pack;4007176416235;43;6;0;1;7.25;14.99
4007176;41624;Fee Fizzy Single Pack;4007176416242;43;6;0;1;6.6;12.99
4007176;41628;Drache Digby Geschenk-Box 3 S;4007176416280;43;4;0;1;8.5;16.99
4007176;43155;Wickie;4007176431559;43;6;0;1;2.38;4.99
4007176;43157;Halvar;4007176431573;43;6;0;1;2.73;5.99
4007176;43158;Snorre;4007176431580;43;6;0;1;2.38;4.99
4007176;43159;Tjure;4007176431597;43;6;0;1;2.38;4.99
4007176;43161;Faxe;4007176431610;43;6;0;1;3.19;6.99
4007176;43162;Wickie springend;4007176431627;43;6;0;1;3.19;6.99
4007176;43309;Yakari Geschenk-Box 3 St;4007176433096;43;6;0;1;6.6;12.99
4007176;43355;Yakari auf Kleiner Donner;4007176433553;43;6;0;1;3.19;6.99
4007176;43356;Yakari mit Federschmuck;4007176433560;43;6;0;1;2.38;4.99
4007176;43358;Kleiner Donner;4007176433584;43;6;0;1;2.02;3.99
4007176;43359;Regenbogen;4007176433591;43;6;0;1;1.55;2.99
4007176;43360;Kleiner Dachs;4007176433607;43;6;0;1;1.55;2.99
4007176;43361;Großer Adler;4007176433614;43;6;0;1;1.55;2.99
4007176;43465;Diddl Sortiment 24 St;4007176434659;43;1;0;1;64.12;0
4007176;43470;Diddl;4007176434703;43;6;0;1;2.73;5.99
4007176;43471;Diddl mit Käse;4007176434710;43;6;0;1;2.73;5.99
4007176;43472;Diddl kniend;4007176434727;43;6;0;1;2.73;5.99
4007176;43473;Diddlina;4007176434734;43;6;0;1;2.73;5.99
4007176;43474;Diddlina mit Blumen;4007176434741;43;6;0;1;2.73;5.99
4007176;43475;Diddl-Pferd;4007176434758;43;6;0;1;2.73;5.99
4007176;43476;Pimboli;4007176434765;43;6;0;1;2.38;4.99
4007176;43650;Herr Fuchs;4007176436509;43;6;0;1;2.38;4.99
4007176;43651;Frau Elster;4007176436516;43;6;0;1;2.38;4.99
4007176;43652;Pittiplatsch;4007176436523;43;6;0;1;2.38;4.99
4007176;43653;Schnatterinchen;4007176436530;43;6;0;1;2.38;4.99
4007176;43654;Moppi;4007176436547;43;6;0;1;2.38;4.99
4007176;43655;Sandmännchen;4007176436554;43;6;0;1;2.38;4.99
4007176;44050;Kokosnuss;4007176440506;43;6;0;1;2.38;4.99
4007176;44051;Matilda;4007176440513;43;6;0;1;2.38;4.99
4007176;44052;Oskar;4007176440520;43;6;0;1;2.38;4.99
4007176;44053;Kokosnuss m Tasche auf Karte;4007176440537;43;6;0;1;2.38;4.99
4007176;44060;Kleiner Drache Kokosnuss;4007176440605;43;1;0;1;57.12;0
4007176;44389;Pummeleinhorn Mystery Sort 18;4007176443897;43;1;0;1;55.8;0
4007176;44393;GeburtstagsPummel Single Pack;4007176443934;43;6;0;1;3.1;6.99
4007176;44394;Pummel mit Teddy Single Pack;4007176443941;43;6;0;1;3.1;6.99
4007176;44396;Pummeleinhorn Spardose;4007176443965;43;3;0;1;7.44;14.99
4007176;44397;Pummel reitend Single Pack;4007176443972;43;6;0;1;3.1;6.99
4007176;44399;Pummeleinhorn Keyring;4007176443996;43;6;0;1;1.98;3.99
4007176;44400;Pummel mit Teddy Keyring;4007176444009;43;6;0;1;1.98;3.99
4007176;44401;Pummelfee Keyring;4007176444016;43;6;0;1;1.98;3.99
4007176;44402;Pummeleinhorn Bilderrahmen;4007176444023;43;3;0;1;4.73;10.99
4007176;44403;Pummelfee Bilderrahmen;4007176444030;43;3;0;1;3.78;7.99
4007176;44421;Pummeleinhorn POS Display;4007176444214;43;1;0;1;160.8;0
4007176;44425;Badespaß Pummeleinhorn;4007176444252;43;3;0;1;3.97;7.99
4007176;44426;Pummeleinhorn Schlüsselanhäng;4007176444269;43;1;0;1;0;0
4007176;44451;Pummel als Stier Single Pack;4007176444511;43;4;0;1;7.55;14.99
4007176;44452;Pummel als Zwilling SP;4007176444528;43;4;0;1;7.55;14.99
4007176;44453;Pummel als Krebs Single Pack;4007176444535;43;4;0;1;7.55;14.99
4007176;44454;Pummel als Löwe Single Pack;4007176444542;43;4;0;1;7.55;14.99
4007176;44455;Pummel als Jungfrau SP;4007176444559;43;4;0;1;7.55;14.99
4007176;44456;Pummel als Waage Single Pack;4007176444566;43;4;0;1;7.55;14.99
4007176;44457;Pummel als Skorpion SP;4007176444573;43;4;0;1;7.55;14.99
4007176;44458;Pummel als Schütze Single Pac;4007176444580;43;4;0;1;7.55;14.99
4007176;44459;Pummel als Steinbock SP;4007176444597;43;4;0;1;7.55;14.99
4007176;44460;Pummel als Wassermann SP;4007176444603;43;4;0;1;7.55;14.99
4007176;44461;Pummel als Fische SP;4007176444610;43;4;0;1;7.55;14.99
4007176;44462;Pummel als Widder Single Pack;4007176444627;43;4;0;1;7.55;14.99
4007176;44500;Birthday-Chubby Single Pack;4007176445006;43;6;0;1;3.1;6.99
4007176;44501;Chubby with Teddy Single Pack;4007176445013;43;6;0;1;3.1;6.99
4007176;44502;Chubby riding Single Pack;4007176445020;43;6;0;1;3.1;6.99
4007176;46005;Pettersson&Findus Geschenkset;4007176460054;43;6;0;1;6;11.99
4007176;46350;Pettersson;4007176463505;43;6;0;1;3.19;6.99
4007176;46351;Findus;4007176463512;43;6;0;1;3.19;6.99
4007176;58355;Riesenmammut;4007176583555;43;3;0;1;7.44;14.99
4007176;58375;Säbelzahntiger;4007176583753;43;6;0;1;2.33;4.99
4007176;58400;Ammonit;4007176584002;43;3;0;1;3.78;7.99
4007176;61364;Pteranodon Museum Line;4007176613641;43;3;0;1;4.73;10.99
4007176;61446;Medium Triceratops ML;4007176614464;43;3;0;1;4.73;10.99
4007176;61447;Medium Archaeopteryx ML;4007176614471;43;3;0;1;3.78;7.99
4007176;61448;Medium Tyrannosaurus ML;4007176614488;43;3;0;1;3.78;7.99
4007176;61449;Medium Liopleurodon ML;4007176614495;43;3;0;1;3.78;7.99
4007176;61451;Tyrannosaurus Museum Line;4007176614518;43;3;0;1;7.44;14.99
4007176;61455;Elasmosaurus Museum Line;4007176614556;43;3;0;1;4.73;10.99
4007176;61466;Velociraptor Museum Line;4007176614662;43;3;0;1;4.73;10.99
4007176;61470;Stegosaurus Museum Line;4007176614709;43;3;0;1;7.44;14.99
4007176;61472;Giganotosaurus Museum Line;4007176614723;43;3;0;1;7.44;14.99
4007176;61476;Dimetrodon Museum Line;4007176614761;43;3;0;1;5.42;10.49
4007176;61478;Therizinosaurus Museum Line;4007176614785;43;3;0;1;6.66;12.99
4007176;61479;Spinosaurus Museum Line;4007176614792;43;3;0;1;7.44;14.99
4007176;62100;Spardose Schwein;4007176621004;43;3;0;1;6.66;12.99
4007176;62250;Micro Schwein;4007176622506;43;50;0;1;0.4;1
4007176;62252;Micro Hahn weiss;4007176622520;43;50;0;1;0.4;1
4007176;62254;Micro Pferd weiss;4007176622544;43;50;0;1;0.4;1
4007176;62258;Micro Ente;4007176622582;43;50;0;1;0.4;1
4007176;62261;Micro Hahn Braun;4007176622612;43;50;0;1;0.4;1
4007176;62264;Micro Fledermaus;4007176622643;43;50;0;1;0.4;1
4007176;62268;Micro Kuh weiss/schwarz;4007176622681;43;50;0;1;0.4;1
4007176;62269;Micro Schäferhund;4007176622698;43;50;0;1;0.4;1
4007176;62270;Micro Marienkäfer;4007176622704;43;50;0;1;0.4;1
4007176;62273;Micro Hausmaus;4007176622735;43;50;0;1;0.4;1
4007176;62274;Micro Häschen;4007176622742;43;50;0;1;0.4;1
4007176;62276;Micro Eichhoernchen;4007176622766;43;50;0;1;0.4;1
4007176;62310;Eber;4007176623107;43;6;0;1;1.98;3.99
4007176;62311;Mutterschwein;4007176623114;43;6;0;1;1.98;3.99
