Artikelnummer;Bezeichnung;EAN;Netto
190339044;Tasse mit 2 Henkeln und rutschfestem Boden;3585190339044;4.4
190339057;Baby Essteller ? 21 cm;3585190339057;3.55
190339071;Schale;3585190339071;2.75
190339088;Löffel blau;3585190339088;0.9
190339095;Eierbecher;3585190339095;3.15
190339286;Französische Trinkschale;3585190339286;4.5
190346178;Pflegeleichtes Lätzchen rosa;3585190346178;3.75
190346253;Pflegeleichte Schürze grün;3585190346253;4.45
190349087;Löffel rosa;3585190349087;0.9
190352407;Aufbewahrungskorb/Wäschekorb Doudous;3585190352407;15.75
190352414;Aufbewahrungskörbe 3er-Set Doudous;3585190352414;13.25
190352421;Kissen Doudous;3585190352421;6.85
190352506;Mulltuch Doudous 70x70;3585190352506;3.55
190352513;Mulltuch Doudous 120x120;3585190352513;8.4
190352674;Baumwoll Lätzchen Doudous;3585190352674;3.6
190352681;Bandana Lätzchen Doudous;3585190352681;3.7
190352698;Babymütze Doudous;3585190352698;4.1
190352704;Schlafsack Doudous;3585190352704;22.8
190352759;Babydecke Doudous;3585190352759;17.8
190352803;Pyjama 3 Monate Doudous;3585190352803;11.35
190352810;Pyjama 6 Monate Doudous;3585190352810;11.35
190352827;Pyjama 12 Monate Doudous;3585190352827;11.35
190353206;Puppenwagen Doudous;3585190353206;22.6
190355682;"Rucksack ""mini-Kurier"" Doudous";3585190355682;7.35
190356160;Geldbörse Doudous;3585190356160;2.25
190356306;Thermostasche Doudous;3585190356306;5.45
190356337;Mini - Shopper Doudous;3585190356337;3.8
190356443;Aufbewahrungstasche Doudous;3585190356443;4.1
190356450;Kulturbeutel Doudous;3585190356450;7.55
190357013;5-teiliges Service Doudous;3585190357013;14.7
190357037;2-teiliges Besteck Doudous;3585190357037;3.2
190357051;Baby Essteller Doudous;3585190357051;3.45
190357075;Schale Doudous;3585190357075;2.75
190359116;Trinkbecher Doudous;3585190359116;2.3
190365629;Kleiner Rucksack;3585190365629;11.55
190366176;Pflegeleichtes Lätzchen grün;3585190366176;3.75
190366237;Mini - Shopper Peter Hase;3585190366237;5
190366244;Federmäppchen Peter Hase;3585190366244;3.1
190366251;Kinder-Schürze Peter Hase;3585190366251;4.45
190366299;Tasche Peter Hase;3585190366299;8.5
190367012;5-teiliges Service Peter Hase orange;3585190367012;14.7
190367036;Besteck Peter Hase orange;3585190367036;3.2
190367050;Baby Essteller Peter Hase orange;3585190367050;3.45
190367074;Schale Peter Hase orange;3585190367074;2.75
190369016;4-teiliges Service in Geschenkbox;3585190369016;13.65
190369023;Schale mit Saugboden;3585190369023;6.1
190369030;3-teiliges Besteck;3585190369030;6.6
190369047;Henkel-Tasse Peter Hase;3585190369047;4.75
190369054;Baby Essteller grün ? 21 cm;3585190369054;3.55
190369078;Schale;3585190369078;2.75
190369085;Löffel;3585190369085;0.9
190369115;Trinkbecher Peter Hase orange;3585190369115;2.3
190376168;Geldbörse Peter Hase rot;3585190376168;2.1
190376175;Lätzchen blau Peter Hase;3585190376175;3.75
190376243;Federmäppchen Peter Hase blau;3585190376243;3.1
190376250;Pflegeleichte Schürze Familie;3585190376250;4.45
190377011;5-teiliges Service Peter Hase grau;3585190377011;14.7
190377035;Besteck Peter Hase grau;3585190377035;3.2
190377059;Baby Essteller Peter Hase grau;3585190377059;3.45
190377073;Schale Peter Hase grau;3585190377073;2.75
190379053;Baby Essteller blau ? 21 cm;3585190379053;3.55
190379114;Trinkbecher Peter Hase grau;3585190379114;2.3
190379190;Suppenlöffel Peter Hase;3585190379190;1.05
190380226;Regenschirm Ernest et Celestine;3585190380226;7.15
190383203;Puppenwagen Ernest et Celestine;3585190383203;22.6
190383258;Puppentragetasche  Ernest et Celestine;3585190383258;14.3
190385627;Kleiner Rucksack Ernest et Celestine;3585190385627;11.55
190386174;Lätzchen Ernest und Celestine;3585190386174;3.75
190386259;Kinder-Schürze Ernest und Celestine;3585190386259;4.45
190387010;5-teiliges Service in Geschenkbox;3585190387010;14.7
190387027;Schale mit Löffel Ernest und Celestine;3585190387027;7.15
190387034;2-teiliges Melamin-Besteck;3585190387034;3.2
190387058;Baby Essteller ? 18 cm;3585190387058;3.45
190387072;Schale;3585190387072;2.75
190389038;3-teiliges Besteck Ernest und Celestine;3585190389038;6.6
190389045;Henkel-Tasse Ernest und Celestine;3585190389045;4.75
190389083;Löffel;3585190389083;0.9
190389113;Trinkbecher;3585190389113;2.3
190389137;Melamin - Tasse Ernest und Celestine;3585190389137;2.5
190389205;Dessertteller Célestine ? 20 cm;3585190389205;3.35
190389212;Dessertteller Ernest und Célestine Garten ? 20 cm;3585190389212;3.35
190389229;Dessertteller Ernest und Célestine kochen ? 20 cm;3585190389229;3.35
190389281;Melamin - Schale Ernest und Celestine;3585190389281;4.5
190389359;Menü - Teller Ernest und Celestine;3585190389359;5.25
190389953;Snack box Ernest et Celestine;3585190389953;5.65
190389977;Kindertasse aus Tritan;3585190389977;7.1
190396173;Pflegeleichtes Lätzchen rosa;3585190396173;3.75
190397019;5-teiliges Service in Geschenkbox rosa;3585190397019;14.7
190397033;2-teiliges Besteck rosa;3585190397033;3.2
190397057;Baby Essteller rosa ? 18 cm;3585190397057;3.45
190397071;Schale rosa;3585190397071;2.75
190399112;Trinkbecher rosa;3585190399112;2.3
190403208;Puppenwagen Auf dem Land;3585190403208;22.6
190404304;Großer Ball Auf dem Land;3585190404304;6.2
190404311;Kleiner Ball Auf dem Land;3585190404311;4.8
190405622;Kleiner Rucksack Auf dem Land;3585190405622;11.55
190405684;"Rucksack ""mini-Kurier"" Auf dem Land";3585190405684;7.35
190406179;Lätzchen all-over Auf dem Land;3585190406179;3.75
190406254;Pflegeleichte Schürze Auf dem Land;3585190406254;4.45
190406445;Aufbewahrungstasche Auf dem Land;3585190406445;4.1
190407015;5-teiliges Service Auf dem Land;3585190407015;14.7
190407039;2-teiliges Besteck Auf dem Land;3585190407039;3.2
190407053;Baby Essteller Auf dem Land;3585190407053;3.45
190407077;Schale Auf dem Land;3585190407077;2.75
190409040;Tasse mit 2 Henkeln Auf dem Land;3585190409040;4.75
190409118;Trinkbecher Auf dem Land;3585190409118;2.3
190409132;Kleiner Becher Auf dem Land;3585190409132;2.5
190409354;Menü Teller Auf dem Land;3585190409354;5.25
190416178;Lätzchen schwarz Auf dem Land;3585190416178;3.75
190426177;Pflegeleichtes Lätzchen grün;3585190426177;3.75
190426184;Lätzchen klein Elmer;3585190426184;3.05
190426191;Gross pflegeleichtes Lätzchen;3585190426191;6.4
190429000;Flasche aus Tritan 0,35 L;3585190429000;6.3
190429185;4 teiliges Löffelset;3585190429185;4.2
190430013;Bleistiftbox;3585190430013;2.5
190430020;Bleistift;3585190430020;0.5
190430044;Bleistiftspitzer;3585190430044;1.8
190430228;Regenschirm Elmar;3585190430228;7.15
190431164;Zeichenblock;3585190431164;2.7
190431904;12 Buntstifte;3585190431904;3.25
190431980;Wasserfarbe;3585190431980;3.6
190433007;Elmar Plüsch;3585190433007;9.05
190433014;Elmar Plüsch Rassel;3585190433014;6.7
190433090;Elmars Teddybär;3585190433090;10.8
190443037;Elmar zum Baden;3585190443037;6.6
190443075;Elmar der Kumpel;3585190443075;13.2
190446236;Kleine Tasche;3585190446236;5
190452275;3-er Kofferset (16-20-25cm)**;3585190452275;15.75
190454132;Softball;3585190454132;2.65
190455603;Trolley rot;3585190455603;36.85
190455610;Grosser Rucksack rot;3585190455610;16.3
190455641;Geldbörse rot;3585190455641;2.3
190456211;Malkittel mit Ärmel;3585190456211;12.8
190461932;6 Stück Doppelseitige Filzstifte;3585190461932;2.25
190464049;6-er Würfelset;3585190464049;4.5
190465626;Kleiner Rucksack;3585190465626;11.55
190466166;Geldbörse gelb;3585190466166;2.1
190466173;Pflegeleichtes Lätzchen rot;3585190466173;3.75
190467033;2-teiliges Besteck Elmar;3585190467033;3.2
190469013;4-teiliges Service in Geschenkbox;3585190469013;13.65
190469037;3-teiliges Besteck;3585190469037;6.6
190469044;Henkel-Tasse Elmer;3585190469044;4.4
190469075;Schale;3585190469075;2.75
190469082;Löffel;3585190469082;0.9
190469099;Eierbecher;3585190469099;3.15
190469112;Trinkbecher;3585190469112;2.3
190469136;Melamin-Tasse Elmer klein;3585190469136;2.5
190469204;Dessertteller gelb ? 20 cm;3585190469204;3.35
190469280;Melamin-Schale Elmer;3585190469280;4.5
190469358;Menü - Teller Elmer;3585190469358;5.25
190469976;Trinklernbecher Elmer;3585190469976;7.1
190473201;Puppenwagen Konfetti;3585190473201;22.6
190474307;Großer Ball Zoo;3585190474307;6.2
190474314;Kleiner Ball Zoo;3585190474314;4.8
190475663;Thermo-Lunchbag gelb;3585190475663;8.1
190477018;5-tlg Bambus-Service in Geschenkbox;3585190477018;12.4
190479005;Flasche aus Tritan Zoo;3585190479005;6.3
190479050;Baby Essteller ? 21 cm;3585190479050;3.55
190479142;Tischset;3585190479142;2.75
190482500;Mulltuch Katze blau 70x70;3585190482500;3.55
190482517;Mulltuch Katze blau 120x120;3585190482517;8.4
190483200;Puppenwagen Katzen;3585190483200;22.6
190493209;Puppenwagen Herzen;3585190493209;22.6
190502505;Mulltuch Katze rosa 70x70;3585190502505;3.55
190502512;Mulltuch Katze rosa 120x120;3585190502512;8.4
190514508;6-teiliges Cookie Set;3585190514508;8.4
190514515;5-teiliges Cake Set;3585190514515;8.4
190514522;7-teiliges Cupcake Set;3585190514522;8.4
190529083;Löffel 3er-Set  Doudous;3585190529083;2.7
190534131;Softball Dschungel;3585190534131;2.65
190536173;Lätzchen Dschungel;3585190536173;3.75
190539013;4-teiliges Service Dschungel;3585190539013;13.65
190539044;Tasse mit 2 Henkeln Dschungel;3585190539044;4.4
190539051;Baby Essteller Tiger;3585190539051;3.55
190539075;Schale Tukan;3585190539075;2.75
190539082;Löffel Dschungel;3585190539082;0.9
190539129;Melamin-Tasse Dschungel;3585190539129;2.5
190539150;Tablett Dschungel;3585190539150;7.35
190539204;Dessertteller Tapir;3585190539204;3.35
190539358;Menü-Teller Dschungel;3585190539358;5.25
190542402;Aufbewahrungskorb/Wäschekorb Dschungel;3585190542402;15.75
190542419;Körbe 3er-Set Dschungel;3585190542419;13.25
190542426;Kissen Dschungel;3585190542426;6.85
190546301;Thermostasche Dschungel;3585190546301;5.45
190546448;Aufbewahrungstasche Dschungel;3585190546448;4.1
190547018;5-teiliges Service  Savanne;3585190547018;14.7
190547025;Schale mit Löffel Savanne;3585190547025;7.15
190547032;2-teiliges Besteck Savanne;3585190547032;3.2
190547056;Baby Essteller Savanne;3585190547056;3.45
190547070;Schale Savanne;3585190547070;2.75
190547087;Löffel 3er-Set  Savanne;3585190547087;2.7
190549005;Flasche aus Tritan Savanne;3585190549005;6.3
190549043;Tasse mit 2 Henkeln Savanne;3585190549043;4.75
190549050;Baby Essteller Faultier;3585190549050;3.55
190549111;Trinkbecher Savanne;3585190549111;2.3
190549135;Kleiner Becher Savanne;3585190549135;2.5
190549357;Menü Teller Savanne;3585190549357;5.25
190615625;Kleiner Rucksack mit Sternen;3585190615625;11.55
190616165;Geldbörse mit Sternen;3585190616165;2.1
190616172;Pflegeleichtes Lätzchen mit Sternen;3585190616172;3.75
190616233;Kleine Tasche mit Sternen;3585190616233;5
190616240;Grosses Schreibzeug-Etui mit Sternen;3585190616240;3.1
190616257;Pflegeleichte Schürze mit Sternen;3585190616257;4.45
190616288;Schutzhülle für den Gesundheitspass blau;3585190616288;6.2
190616356;Laptop Tasche;3585190616356;9.05
190617063;Becher aus Tritan Der kleine Prinz;3585190617063;3.8
190619012;4-teiliges Service in Geschenkbox grau;3585190619012;13.65
190619357;Menü - Teller Der kleine Prinz;3585190619357;5.25
190623200;Puppenwagen rosa;3585190623200;22.6
190626164;Geldbörse rosa;3585190626164;2.1
190626171;Pflegeleichtes Lätzchen rosa;3585190626171;3.75
