Artikelnummer;EAN;Bezeichnung;VE;Netto
81084;4033477810847;libri_x Lumi mini rot ;19.4;4.85
81085;4033477810854;libri_x Lumi mini türkis;19.4;4.85
81247;4033477812476;libri_x LED-Buchlupe;31.08;7.77
81248;4033477812483;libri_x LED-Handlupe;33.04;8.26
81266;4033477812667;libri_x Büchertasche Books;22.86;3.81
81270;4033477812704;libri_x Tintenroller Audrey Hepburn ;33.04;8.26
81280;4033477812803;Display Lesehilfen Punkte & Streifen;138;4.6
81282;4033477812827;Lesehilfen Punkte & Streifen 1.0 Nachfüllset;23;4.6
81283;4033477812834;Lesehilfen Punkte & Streifen 1.5 Nachfüllset;23;4.6
81284;4033477812841;Lesehilfen Punkte & Streifen 2.0 Nachfüllset;23;4.6
81285;4033477812858;Lesehilfen Punkte & Streifen 2.5 Nachfüllset;23;4.6
81286;4033477812865;Lesehilfen Punkte & Streifen 3.0 Nachfüllset;23;4.6
81339;4033477813398;libri_x Buchstützen A & Z;6.09;6.09
81350;4033477813503;libri_x Reisenotizen klassisch;14.31;4.77
81395;4033477813954;libri_x Buchständer SCHWARZ ;14.6;14.6
81399;4033477813992;libri_x Buchstütze Büchereule;6.09;6.09
81591;4033477815910;libri_x Tintenroller Twain ;33.04;8.26
81592;4033477815927;libri_x Tintenroller Heinrich Heine;33.04;8.26
81593;4033477815934;libri_x Tintenroller Theodor Fontane;33.04;8.26
81644;4033477816443;libri_x Buchstützen Leseeule;6.09;6.09
81645;4033477816450;libri_x Buchstützen A & Z weiße Edition;6.09;6.09
81659;4033477816597;Tintenroller Nachfüllminen blau;8.8;0.88
81701;4033477817013;Fernweh Magnetlesezeichen London;8.16;1.36
81702;4033477817020;Fernweh Magnetlesezeichen New York;8.16;1.36
81703;4033477817037;Fernweh Magnetlesezeichen Paris;8.16;1.36
81704;4033477817044;Fernweh Magnetlesezeichen Reisen;8.16;1.36
81705;4033477817051;Fernweh Magnetlesezeichen Berge;8.16;1.36
81706;4033477817068;Fernweh Magnetlesezeichen Meer;8.16;1.36
81709;4033477817099;Fernweh Ich-packe-meinen-Koffer Notizblock ;17.1;2.85
81712;4033477817129;Fernweh Notizhefte Maps 3er Set;11.4;2.85
81713;4033477817136;Fernweh Eintragbuch Reisenotizen ;14.55;4.85
81716;4033477817167;Fernweh Karten- und Würfelspiele für unterwegs;4.93;4.93
81759;4033477817594;Fernweh Handlicht  ;45.6;2.85
81774;4033477817747;Fernweh Universal-Reiseadapter;36.54;6.09
81778;4033477817785;Fernweh Digitale Kofferwaage;25.24;6.31
81798;4033477817983;Fernweh Nackenhörnchen 2-in-1 rot  ;29.16;9.72
81799;4033477817990;Fernweh Nackenhörnchen 2-in-1 blau  ;29.16;9.72
81820;4033477818201;moses. Shopper Eulen grün ;23.22;3.87
81821;4033477818218;moses. Shopper Eulen lila ;23.22;3.87
81823;4033477818232;moses. Shopper Punkte;23.22;3.87
81842;4033477818423;moses.-Shopper Beautiful Day ;23.22;3.87
81858;4033477818584;moses. Shopper Pünktchen  ;23.22;3.87
81882;4033477818829;moses. Shopper Farbkleckse;23.22;3.87
81885;4033477818850;moses. Shopper Sterne;23.22;3.87
81886;4033477818867;moses. Shopper Katze;23.22;3.87
81887;4033477818874;moses. Shopper Blumen;23.22;3.87
81896;4033477818966;moses. Shopper Wimpel;23.22;3.87
81913;4033477819130;Lumi flex schwarz ;29.16;7.29
81914;4033477819147;Lumi flex rot ;29.16;7.29
81920;4033477819208;libri_x Tintenroller Ringelnatz ;33.04;8.26
81966;4033477819666;libri_x Büchertasche EULE ;22.86;3.81
81973;4033477819734;Magnetlesezeichen Eulen ;8.16;1.36
81995;4033477819956;Magnet Meine Meinung ;4.17;1.39
81996;4033477819963;Magnet Eigene Welt ;4.17;1.39
82085;4033477820853;home office Haftmarker;11.4;1.9
82086;4033477820860;home office MINI OFFICE Kugelschreiber;17.64;0.49
82087;4033477820877;home office MINI OFFICE Textmarker  ;26.28;0.73
82088;4033477820884;home office MINI OFFICE Schere ;34.2;0.95
82089;4033477820891;home office MINI OFFICE Tacker ;34.2;0.95
82097;4033477820976;home office Radierer;23.04;1.44
82099;4033477820990;home office Anti-Stress-Ball;23.16;1.93
82231;4033477822314;home office XXL-Bleistift mit Radiergummi;34.8;2.9
82232;4033477822321;home office XXL-Radiergummi;28.95;1.93
82237;4033477822376;home office Metall-Lineal;23.22;3.87
82243;4033477822437;home office Kurbel-Anspitzer;17.4;2.9
82245;4033477822451;home office Art Colour Pencils;29.1;4.85
82257;4033477822574;home office Multifunktions-Kugelschreiber ;29.12;7.28
82290;4033477822901;home office Visitenkartenbox ;14.56;7.28
82297;4033477822970;home office Magnet im Bilde  ;4.17;1.39
82308;4033477823083;Fernweh Kofferanhänger keep calm  ;12.84;3.21
82309;4033477823090;Fernweh Kofferanhänger ticket to anywhere;12.84;3.21
82313;4033477823137;Fernweh ReiseBüro ;46.44;3.87
82314;4033477823144;Fernweh Haftmarker  ;23.16;1.93
82315;4033477823151;Fernweh Anti-Stressball ;23.16;1.93
82326;4033477823267;Fernweh Aufblasbarer Globus;42.72;5.34
82327;4033477823274;Fernweh Wäschebeutel ;18.93;6.31
82332;4033477823328;Fernweh Nackenhörnchen 2-in-1 Weltkarte;29.16;9.72
82333;4033477823335;Fernweh Nackenhörnchen 2-in-1 grau;29.67;9.89
82335;4033477823359;Fernweh Täschchen Streifen;16.84;4.21
82336;4033477823366;Fernweh Täschchen Reisefieber;16.84;4.21
82341;4033477823410;Fernweh Notizhefte Stamps 3er Set;9.64;2.41
82342;4033477823427;Fernweh Mini-Reisekoffer;34.8;2.9
82343;4033477823434;Fernweh Kofferanhänger Meer geht immer;12.84;3.21
82345;4033477823458;Fernweh Kleine Täschchen Bon Voyage 2er Set;27.6;4.6
82346;4033477823465;Fernweh LED Taschenlampe mit Karabiner;44.8;2.8
82347;4033477823472;Fernweh Büchertasche Bon Voyage ;16.8;2.8
82427;4033477824271;Fernweh Zaubershopper Weltkarte;44.88;3.74
82429;4033477824295;Fernweh Weltkugel-Magnete 4er Set;46.44;3.87
82432;4033477824325;Fernweh Kofferanhänger Weltenbummler;12.84;3.21
82434;4033477824349;Fernweh Isolierflasche aus Edelstahl;19.44;9.72
82435;4033477824356;Fernweh Zauberhandtuch Weltenbummler;28.92;2.41
82436;4033477824363;Fernweh Jojo Weltenbummler;23.16;1.93
82437;4033477824370;Fernweh Fernlicht;36.64;2.29
82438;4033477824387;Fernweh Briefmarken Klebeband;32.64;1.36
82439;4033477824394;Fernweh Rucksack;49.68;4.14
82440;4033477824400;Fernweh Koffer Allzweckbox;14.55;4.85
82443;4033477824431;Fernweh Kugelschreiber Leuchtender Globus;38.52;3.21
82444;4033477824448;Fernweh Allzweck-Täschchen 2er Set;27.6;4.6
82445;4033477824455;Fernweh Mini Zipper-Etui;29.28;1.83
82446;4033477824462;Fernweh Schrittzähler;19.4;4.85
82447;4033477824479;Fernweh Geschenk-Glas;28.92;2.41
82448;4033477824486;Fernweh Nackenhörnchen Ankerplatz;29.67;9.89
82453;4033477824530;Fernweh LED Globus;25.26;4.21
82454;4033477824547;Fernweh Nackenkissen aufblasbar Weitsicht;42.96;7.16
82455;4033477824554;Fernweh Kofferwaage analog;28.62;4.77
82457;4033477824578;Fernweh Fernglas Weitsicht;33.6;8.4
82458;4033477824585;Fernweh Reisespiegel;19.72;4.93
82459;4033477824592;Fernweh Büchertasche Weltkarte;16.8;2.8
82460;4033477824608;Fernweh Multitalent für unterwegs - Stift;34.2;2.85
82461;4033477824615;Fernweh Rucksack Bon Voyage ;49.68;4.14
82462;4033477824622;Fernweh Nackenkissen aufblasbar Punkte  ;42.96;7.16
82507;4033477825070;Magnet Schokolade;4.17;1.39
82516;4033477825162;libri_x LED-Handlupen Colour Edition  ;50.48;6.31
82521;4033477825216;libri_x Lesezeichen mit Band Reiselektüre  ;14.4;1.2
82558;4033477825582;libri_x Lesezeichen mit Band sweet owls  ;14.4;1.2
82560;4033477825605;libri_x Büchertasche so many books  ;22.86;3.81
82564;4033477825643;Magnet Ideen  ;4.17;1.39
82566;4033477825667;libri_x Lesezeichen mit Band so many books  ;14.4;1.2
82580;4033477825803;libri_x Buchstütze lesende Frau  ;7.74;3.87
82611;4033477826114;Magnet Hüpfburg;4.17;1.39
82612;4033477826121;Magnet Das Geld;4.17;1.39
82617;4033477826176;Magnet Vielleicht  ;4.17;1.39
82631;4033477826312;libri_x Magnetlesezeichen Herzen;10.98;1.83
82634;4033477826343;libri_x Tintenroller Goethe  ;33.04;8.26
82644;4033477826442;libri_x Lesebändchen Katzen ;11.16;1.86
82650;4033477826503;libri_x Lesebändchen Magic;11.16;1.86
82657;4033477826572;Magnet zu klein;4.17;1.39
82658;4033477826589;Magnet Konfetti;4.17;1.39
82659;4033477826596;libri_x Lesebändchen Circles;11.16;1.86
82660;4033477826602;libri_x Magnetlesezeichen Colourful;10.98;1.83
82683;4033477826831;Display libri_x Lesehilfen Klassik;138;4.6
82684;4033477826848;libri_x Lesehilfen Klassik Dioptrien +1.0;23;4.6
82685;4033477826855;libri_x Lesehilfen Klassik Dioptrien +1.5;23;4.6
82686;4033477826862;libri_x Lesehilfen Klassik Dioptrien +2.0;23;4.6
82687;4033477826879;libri_x Lesehilfen Klassik Dioptrien +2.5;23;4.6
82688;4033477826886;libri_x Lesehilfen Klassik Dioptrien +3.0;23;4.6
82692;4033477826923;libri_x Büchertasche Lies dich glücklich;22.86;3.81
82697;4033477826978;libri_x Magnetlesezeichen Ethno;10.98;1.83
82698;4033477826985;libri_x Büchertasche Flowers;22.86;3.81
82699;4033477826992;libri_x Büchertasche ENJOY;22.86;3.81
82702;4033477827029;libri_x Lesezeichen mit Band Katzen;14.4;1.2
82705;4033477827050;libri_x Magnetlesezeichen Fisch;10.98;1.83
82706;4033477827067;libri_x Magnetlesezeichen Katzen;10.98;1.83
82707;4033477827074;libri_x Magnetlesezeichen Delfter Blau;10.98;1.83
82708;4033477827081;libri_x Lesebändchen Anker;11.16;1.86
82709;4033477827098;libri_x Lesebändchen Kaktus;11.16;1.86
82711;4033477827111;libri_x Buchstützen 3er Set;7.77;7.77
82715;4033477827159;libri_x Buchstütze Goethe;6.09;6.09
82721;4033477827210;libri_x Reise-Leselicht mit USB-Anschluss;26.25;8.75
82722;4033477827227;libri_x Leselupe;19.4;4.85
82723;4033477827234;libri_x Tintenroller Martin Luther;33.04;8.26
82724;4033477827241;libri_x Tintenroller Leonardo da Vinci;33.04;8.26
82726;4033477827265;libri_x Lesezeichen mit Band My home is my bookstore;14.4;1.2
82729;4033477827296;Display libri_x Lesehilfen Bicolor ;124.38;6.91
82730;4033477827302;libri_x Lesehilfen Bicolor Dioptrien +1.0;41.46;6.91
82731;4033477827319;libri_x Lesehilfen Bicolor Dioptrien +1.5;41.46;6.91
82732;4033477827326;libri_x Lesehilfen Bicolor Dioptrien +2.0 ;41.46;6.91
82733;4033477827333;libri_x Lesehilfen Bicolor Dioptrien +2.5;41.46;6.91
82734;4033477827340;libri_x Lesehilfen Bicolor Dioptrien +3.0;41.46;6.91
82751;4033477827517;libri_x Büchertasche Jane Austen;22.86;3.81
82752;4033477827524;libri_x Büchertasche Nietzsche;22.86;3.81
82753;4033477827531;libri_x Magnetlesezeichen Goethe;8.16;1.36
82754;4033477827548;libri_x Magnetlesezeichen Shakespeare;8.16;1.36
82755;4033477827555;libri_x Magnetlesezeichen Jane Austen;8.16;1.36
82756;4033477827562;libri_x Magnetlesezeichen Oscar Wilde;8.16;1.36
82759;4033477827593;libri_x Shopper Books are magic;14.55;4.85
82760;4033477827609;libri_x Shopper Happy Book Day;14.55;4.85
82761;4033477827616;libri_x Shopper Bücher;14.55;4.85
82764;4033477827647;libri_x Shopper Katzen;14.55;4.85
82766;4033477827661;libri_x Büchertasche Book;22.86;3.81
82767;4033477827678;libri_x Shopper Sortiment;38.8;4.85
82773;4033477827739;libri_x Lesezeichen mit Band Love BOOKS;14.4;1.2
82774;4033477827746;libri_x Lesezeichen mit Band Bücher;14.4;1.2
82775;4033477827753;libri_x Lesezeichen mit Band Vivan los libros;14.4;1.2
82776;4033477827760;libri_x Lesezeichen mit Band Im Regen tanzen;14.4;1.2
82777;4033477827777;libri_x Radierer Goethe;30.88;1.93
82778;4033477827784;libri_x Buchstützen Katze;6.09;6.09
82779;4033477827791;Display libri_x Lesehilfen Style;124.38;6.91
82901;4033477829016;moses. Shopper Dark Flower;23.22;3.87
82903;4033477829030;moses. Shopper Vögel;23.22;3.87
82906;4033477829061;moses. Shopper Sternenzauber;23.22;3.87
82908;4033477829085;moses. Shopper Dalmatiner Dots ;23.22;3.87
82911;4033477829115;moses. Shopper Patches & Stripes;23.22;3.87
82912;4033477829122;moses. Shopper Paris;23.22;3.87
82913;4033477829139;moses. Shopper Colour Blocking;23.22;3.87
82914;4033477829146;moses. Shopper Berlin;23.22;3.87
82916;4033477829160;moses. Shopper Mermaid;23.22;3.87
82918;4033477829184;moses. Rucksack Ballon;24.84;4.14
82919;4033477829191;moses. Rucksack Farbkleckse;24.84;4.14
82920;4033477829207;moses. Rucksack Summer Garden;24.84;4.14
82921;4033477829214;moses. Rucksack Sterne ;24.84;4.14
82922;4033477829221;moses. Rucksack ABC;24.84;4.14
82923;4033477829238;moses. Rucksack Ethno ;24.84;4.14
82928;4033477829283;moses. Shopper Hummer;23.22;3.87
82929;4033477829290;moses. Shopper Sternenstaub;23.22;3.87
82931;4033477829313;moses. Shopper Lemony;23.22;3.87
82932;4033477829320;moses. Shopper Rainbow;23.22;3.87
82933;4033477829337;moses. Shopper Diamond heart;23.22;3.87
82934;4033477829344;moses. Shopper Knoten;23.22;3.87
82935;4033477829351;moses. Shopper Sail away;23.22;3.87
82936;4033477829368;moses. Shopper Leo;23.22;3.87
82938;4033477829382;moses. Shopper Marble ;23.22;3.87
82939;4033477829399;moses. Shopper Love Cats ;23.22;3.87
82940;4033477829405;moses. Shopper Eulenwald ;23.22;3.87
83023;4033477830234;Magnet Am Ende;4.17;1.39
83024;4033477830241;Magnet Schönste Fehler;4.17;1.39
83026;4033477830265;Magnet Glitzer;4.17;1.39
83027;4033477830272;Magnet Falten;4.17;1.39
83029;4033477830296;Magnet Kalorien;4.17;1.39
83030;4033477830302;Magnet Wunschkonzert;4.17;1.39
83031;4033477830319;Magnet Die Pflicht ruft!;4.17;1.39
83032;4033477830326;Magnet Traummänner;4.17;1.39
83033;4033477830333;Magnet Vitamin Sea;4.17;1.39
83034;4033477830340;Magnet Unsinn;4.17;1.39
83035;4033477830357;Magnet Retro;4.17;1.39
83036;4033477830364;Magnet Steine;4.17;1.39
83037;4033477830371;Magnet Freitag;4.17;1.39
83038;4033477830388;libri_x Lesehilfen Style Dioptrien +1.0;41.46;6.91
83039;4033477830395;libri_x Lesehilfen Style Dioptrien +1.5;41.46;6.91
83040;4033477830401;libri_x Lesehilfen Style Dioptrien +2.0;41.46;6.91
83041;4033477830418;libri_x Lesehilfen Style Dioptrien +2.5;41.46;6.91
83042;4033477830425;libri_x Lesehilfen Style Dioptrien +3.0;41.46;6.91
83043;4033477830432;libri_x Buchständer Bambus natur;14.6;14.6
83045;4033477830456;libri_x Lesezeichen mit Band Miau;14.4;1.2
83046;4033477830463;libri_x Magnetlesezeichen Edgar Allan Poe;8.16;1.36
83047;4033477830470;libri_x Magnetlesezeichen Schiller;8.16;1.36
83048;4033477830487;libri_x Tintenroller Gustav Klimt;33.04;8.26
83049;4033477830494;libri_x Tintenroller Charlotte Brontë;33.04;8.26
83055;4033477830555;libri_x Notizbuch Schöner Schreiben groß;14.04;4.68
83056;4033477830562;libri_x Lesezeichen mit Band Universum Buch;14.4;1.2
83057;4033477830579;libri_x Lesezeichen mit Band Silence is golden;14.4;1.2
83058;4033477830586;libri_x Lesezeichen mit Band Voltaire;14.4;1.2
83059;4033477830593;libri_x Lesezeichen mit Band Blütendecor;14.4;1.2
83060;4033477830609;libri_x Büchertasche Read more ;22.86;3.81
83061;4033477830616;libri_x Büchertasche Katzentrio;22.86;3.81
83062;4033477830623;libri_x Shopper Eule;14.55;4.85
83063;4033477830630;libri_x Shopper Miau;14.55;4.85
83064;4033477830647;libri_x Shopper I love books;14.55;4.85
83065;4033477830654;libri_x Shopper Alphabet;14.55;4.85
83066;4033477830661;libri_x Lesehilfen Style mit Sonnenschutz Dioptrien +1.0;41.46;6.91
83067;4033477830678;libri_x Lesehilfen Style mit Sonnschutz Dioptrien +1.5;41.46;6.91
83068;4033477830685;libri_x Lesehilfen Style mit Sonnenschutz Dioptrien +2.0;41.46;6.91
83069;4033477830692;libri_x Lesehilfen Style mit Sonnenschutz Dioptrien +2.5;41.46;6.91
83070;4033477830708;libri_x Lesehilfen Style mit Sonnenschutz Dioptrien +3.0;41.46;6.91
83071;4033477830715;Display libri_x Lesehilfen Style mit Sonnenschutz ;124.38;6.91
83073;4033477830739;libri_x Magnetlesezeichen Theodor Fontane;8.16;1.36
83074;4033477830746;libri_x Magnetlesezeichen Charlotte Brontë;8.16;1.36
83075;4033477830753;libri_x Magnetlesezeichen Mond ;10.98;1.83
83076;4033477830760;libri_x Magnetlesezeichen Schwan;10.98;1.83
83077;4033477830777;libri_x Magnetlesezeichen Hund;10.98;1.83
83078;4033477830784;libri_x Lesebändchen Bello;11.16;1.86
83079;4033477830791;libri_x Lesebändchen Kaffeepause;11.16;1.86
83081;4033477830814;libri_x Schreibfeder;26.58;4.43
83082;4033477830821;libri_x Radierer Leseeule;30.88;1.93
83083;4033477830838;libri_x Buchstützen A & Z modern ;6.09;6.09
83085;4033477830852;Magnet Gin;4.17;1.39
83086;4033477830869;libri_x Shopper Liebespaare;14.55;4.85
83087;4033477830876;libri_x Shopper Sleep less;14.55;4.85
83088;4033477830883;libri_x Samttäschchen Samt & Sonders;19.4;4.85
83089;4033477830890;libri_x Samttäschchen Ordnung;19.4;4.85
83090;4033477830906;libri_x Samtmäppchen Feder;23.22;3.87
83091;4033477830913;libri_x Samtmäppchen Alphabet;23.22;3.87
83092;4033477830920;libri_x Leuchtbuchstaben A und Z im Set Klein;19.44;9.72
83093;4033477830937;Magnet Diplomatie;4.17;1.39
83095;4033477830951;Magnet Glückssträhnchen ;4.17;1.39
83096;4033477830968;Magnet Das Beste ;4.17;1.39
83097;4033477830975;Magnet #coffee;4.17;1.39
83099;4033477830999;libri_x Radierer Schiller ;30.88;1.93
83100;4033477831002;libri_x Magnetlesezeichen Grußkarte Schlüsselmoment;11.58;1.93
83101;4033477831019;libri_x Tintenroller Oscar Wilde;33.04;8.26
83102;4033477831026;libri_x Tintenroller Wilhelm Busch;33.04;8.26
83103;4033477831033;libri_x Lit. Magnetlesezeichen Wilhelm Busch;8.16;1.36
83104;4033477831040;libri_x Lit. Magnetlesezeichen Rainer Maria Rilke;8.16;1.36
83106;4033477831064;libri_x Magnetlesezeichen Grußkarte Lesebrille;11.58;1.93
83107;4033477831071;libri_x Magnetlesezeichen Grußkarte Leseeule;11.58;1.93
83108;4033477831088;libri_x Magnetlesezeichen Grußkarte Feder;11.58;1.93
83109;4033477831095;libri_x Magnetlesezeichen A & Z;10.98;1.83
83110;4033477831101;libri_x Magnetlesezeichen Read & Relax;10.98;1.83
83111;4033477831118;libri_x Magnetlesezeichen Kraniche;10.98;1.83
83112;4033477831125;libri_x Lesebändchen Relax;11.16;1.86
83113;4033477831132;libri_x Lesebändchen Terrazzo;11.16;1.86
83114;4033477831149;libri_x Lesebändchen Dschungel;11.16;1.86
83115;4033477831156;libri_x Lesezeichen mit Band A & Z;14.4;1.2
83116;4033477831163;libri_x Lesezeichen mit Band Eule pastell;14.4;1.2
83117;4033477831170;libri_x Lesezeichen mit Band Carpe Noctem;14.4;1.2
83118;4033477831187;libri_x Lesezeichen mit Band Summer Tales;14.4;1.2
83119;4033477831194;libri_x Buchstützen A & Z Letters 2er Set;6.31;6.31
83120;4033477831200;libri_x Büchertasche Leselama;22.86;3.81
83121;4033477831217;libri_x Büchertasche Nachtlektüre;22.86;3.81
83122;4033477831224;libri_x Reise-Leselicht Nachthimmel;23.28;5.82
83123;4033477831231;libri_x Reise-Leselicht Robin Book;23.28;5.82
83124;4033477831248;libri_x Reise-Leselicht Worldwide;23.28;5.82
83125;4033477831255;libri_x Shopper Leselama;14.55;4.85
83126;4033477831262;libri_x Shopper Strandlektüre;14.55;4.85
83128;4033477831286;libri_x Sonnenbrille Style Black;41.46;6.91
83129;4033477831293;libri_x Sonnenbrille Style Navy;41.46;6.91
83130;4033477831309;libri_x Sonnenbrille Style Brown;41.46;6.91
83132;4033477831323;libri_x Lesehilfen Modern +1.0;28.12;7.03
83133;4033477831330;libri_x Lesehilfen Modern +1.5;28.12;7.03
83134;4033477831347;libri_x Lesehilfen Modern Neu +2.0;28.12;7.03
83135;4033477831354;libri_x Lesehilfen Modern +2.5;28.12;7.03
83136;4033477831361;libri_x Lesehilfen Modern +3.0;28.12;7.03
83137;4033477831378;libri_x Leselicht Lumi Plus Schwarz;18.93;6.31
83139;4033477831392;libri_x Leselicht Lumi Plus Nachtblau;18.93;6.31
83140;4033477831408;libri_x Leselicht Lumi Plus Katze;18.93;6.31
83141;4033477831415;libri_x Leselicht Lumi Plus Eule;18.93;6.31
83142;4033477831422;libri_x Leselicht Lumi Plus Book;18.93;6.31
83143;4033477831439;libri_x Leselicht Lumi Plus Floral;18.93;6.31
83144;4033477831446;libri_x Notizbuch Miau groß;14.04;4.68
83145;4033477831453;libri_x Samtmäppchen Graphics;23.22;3.87
83146;4033477831460;libri_x Samtmäppchen Jäger & Sammler ;23.22;3.87
83147;4033477831477;libri_x Bleistiftset Long story short;16.84;4.21
83148;4033477831484;libri_x Bleistiftset Goethe;16.84;4.21
83150;4033477831507;Blatt & Blüte Magnet Mücken;4.17;1.39
83151;4033477831514;Blatt & Blüte Magnet Pumps;4.17;1.39
83152;4033477831521;Blatt & Blüte Magnet Begleitgrün;4.17;1.39
83155;4033477831552;Blatt & Blüte Magnet Knusprig;4.17;1.39
83156;4033477831569;Blatt & Blüte Magnet Selbstpflücker;4.17;1.39
83157;4033477831576;Blatt & Blüte Magnet Beeten;4.17;1.39
83175;4033477831750;Magnet Torte;4.17;1.39
83176;4033477831767;Magnet Fantastisch;4.17;1.39
83177;4033477831774;Magnet Kaffee;4.17;1.39
83178;4033477831781;Magnet Mutausbruch;4.17;1.39
83180;4033477831804;Magnet rund Smile;4.17;1.39
83181;4033477831811;Magnet rund Big Hugs ;4.17;1.39
83182;4033477831828;Magnet rund Good Luck;4.17;1.39
83183;4033477831835;Magnet rund Stay Wild;4.17;1.39
83184;4033477831842;Magnet rund Yay;4.17;1.39
83185;4033477831859;Magnet rund Girl Power;4.17;1.39
83186;4033477831866;Magnet rund Tanzen;4.17;1.39
83187;4033477831873;Magnet rund Prosecco;4.17;1.39
83188;4033477831880;Magnet rund Lieblingsplatz;4.17;1.39
83189;4033477831897;Magnet rund Happy Place;4.17;1.39
83190;4033477831903;Magnet rund Hurra;4.17;1.39
83191;4033477831910;Magnet rund Herzüberkopf;4.17;1.39
83192;4033477831927;Display libri_x Lumi mini ;38.8;4.85
83193;4033477831934;libri_x Tintenroller Nachfüllminen schwarz;8.8;0.88
83200;4033477832009;libri_x Tintenroller Ludwig v. Beethoven ;33.04;8.26
83201;4033477832016;libri_x Tintenroller Antoine de Saint-Exupéry;33.04;8.26
83202;4033477832023;libri_x Lit. Magnetlesezeichen Sigmund Freud;8.16;1.36
83203;4033477832030;libri_x Lit. Magnetlesezeichen Jean Paul;8.16;1.36
83204;4033477832047;libri_x Magnetlesezeichen Schreibmaschine;10.98;1.83
83205;4033477832054;libri_x Magnetlesezeichen Regenbogen;10.98;1.83
83206;4033477832061;libri_x Magnetlesezeichen Eyes;10.98;1.83
83207;4033477832078;libri_x Magnetlesezeichen Grußkarte Vogelschwarm;11.58;1.93
83208;4033477832085;libri_x Magnetlesezeichen Grußkarte Ampers And;11.58;1.93
83209;4033477832092;libri_x Lesebändchen Diamant;11.16;1.86
83210;4033477832108;libri_x Lesebändchen Herz;11.16;1.86
83211;4033477832115;libri_x Lesebändchen Eule;11.16;1.86
83212;4033477832122;libri_x Lesezeichen mit Band Worldwide;14.4;1.2
83213;4033477832139;libri_x Lesezeichen mit Band Leselama;14.4;1.2
83214;4033477832146;libri_x Lesezeichen mit Band Marble;14.4;1.2
83215;4033477832153;libri_x Lesezeichen mit Band Stille Nacht ;14.4;1.2
83216;4033477832160;libri_x Notizbuch Globus;14.04;4.68
83217;4033477832177;libri_x Büchertasche Good Book;22.86;3.81
83218;4033477832184;libri_x Büchertasche Bienchen & Bücher;22.86;3.81
83219;4033477832191;libri_x Shopper Büchereule ;14.55;4.85
83220;4033477832207;libri_x Shopper Liebesbrief;14.55;4.85
83221;4033477832214;libri_x Leselicht Lumi Plus Rot;18.93;6.31
83222;4033477832221;libri_x Leselicht Lumi Plus Anker;18.93;6.31
83223;4033477832238;libri_x Leselicht Lumi Plus Mond & Sterne;18.93;6.31
83224;4033477832245;libri_x Leselicht Lumi Plus Beflügelt;18.93;6.31
83225;4033477832252;Display libri_x Reise-Leselicht;69.84;5.82
83228;4033477832283;libri_x Sanduhr Lesezeit;16.52;8.26
83229;4033477832290;libri_x Samttäschchen Eyes;19.4;4.85
83230;4033477832306;libri_x Samttäschchen Wundervoll;19.4;4.85
83231;4033477832313;libri_x Bleistiftset Jane Austen;16.84;4.21
83232;4033477832320;libri_x Bleistiftset Spitze;16.84;4.21
83233;4033477832337;libri_x LED-Standlupe;14.6;14.6
83234;4033477832344;libri_x Buchhalter Filz;12.18;6.09
83236;4033477832368;libri_x Stickerbuch Leseliebe;19.4;4.85
83238;4033477832382;libri_x Notizbuch ABC;14.04;4.68
86086;4033477860866;libri_x Büchertasche Garten;22.86;3.81
87119;4033477871190;Blatt & Blüte Meine Gartennotizen;14.56;7.28
87120;4033477871206;Blatt & Blüte Blumengarten in Zinkwanne;24.3;8.1
87121;4033477871213;Blatt & Blüte Grüne Wundertüte;38.79;4.31
87122;4033477871220;Blatt & Blüte Mini-Gartengeräte im Set;19.4;4.85
87123;4033477871237;Blatt & Blüte Gartenschild;27.48;2.29
87124;4033477871244;Blatt & Blüte Kräutergartensteine;30.88;1.93
87125;4033477871251;Blatt & Blüte Gartenpflaster und Pinzette;22.32;1.86
87126;4033477871268;Blatt & Blüte Gartentasche;19.4;4.85
87127;4033477871275;Blatt & Blüte Mini-Solarlichterkette Gartenparty;19.4;4.85
87128;4033477871282;Blatt & Blüte Gartengarn im Glas;16.84;4.21
87129;4033477871299;Blatt & Blüte Lichterkette Blätterranke;29.92;3.74
87130;4033477871305;Blatt & Blüte Tintenschreiber 3er Set ;34.8;2.9
90015;4033477900159;black stories Das mörderische Drehbuch;9.89;9.89
90020;4033477900203;black stories - Das Spiel;11.45;11.45
90021;4033477900210;black stories - Stadt Land Tod ;17.4;2.9
90041;4033477900418;black stories investigation - BSI;8.9;8.9
90073;4033477900739;black stories Sebastian Fitzek Edition;7.68;7.68
90074;4033477900746;black stories Nele Neuhaus Edition;7.68;7.68
90100;4033477901002;Wortissimo - Der schnelle Wort-Sport;9.89;9.89
90136;4033477901361;(Come on) Let's quiz again;9.89;9.89
90137;4033477901378;Te-Trix;4.93;4.93
90207;4033477902078;Das Quiz der Pferde und Ponys;6.09;6.09
90208;4033477902085;Das Schlaumeier-Quiz;6.09;6.09
90211;4033477902115;Ohne Haufen, dumm gelaufen;4.93;4.93
90218;4033477902184;Die großartige Dino-Maschine;9.39;9.39
90224;4033477902245;True Stories;7.41;7.41
90226;4033477902269;Wo ist bitte Umtata? ;9.89;9.89
90233;4033477902337;Das Junior Fußball-Quiz;6.09;6.09
90236;4033477902368;True Stories 2;7.41;7.41
