Artikelnummer;EAN;Bezeichnung;VE;Netto
26122;4033477261229;Bleistifte Flowers & Dots;14.16;0.59
26123;4033477261236;Radierer Flowers & Dots;21.6;0.9
26125;4033477261250;Mäppchen Flowers & Dots - Dots;12.63;4.21
26127;4033477261274;Mini Büro Flowers & Dots;40.68;3.39
26129;4033477261298;Sticker von der Rolle;24.48;1.36
26130;4033477261304;Kleine Stempelbox Einhorn;19.98;3.33
26133;4033477261335;Neon-Buntstifte XL ;34.8;2.9
26135;4033477261359;Einhorn-Radierer;34.56;1.44
26136;4033477261366;Radierer in der Sammeldose;34.56;1.44
26138;4033477261380;Weltkugel-Radierer ;34.56;1.44
26139;4033477261397;Tagebuch Comic;12.18;6.09
26140;4033477261403;Emoji-Radierer;21.76;1.36
26141;4033477261410;Space-Radierer;29.28;1.83
26142;4033477261427;Radierer Crazy Cats & Dogs;28.32;1.18
26143;4033477261434;Regenbogen-Marker;33.48;1.86
26144;4033477261441;Diamant-Kugelschreiber ;29.28;1.83
26146;4033477261465;Kugelschreiber Punkte & Sterne;33.6;2.8
26147;4033477261472;Wachsmaler Multi-Color;23.2;2.9
26148;4033477261489;Federmäppchen NEON;26.1;2.9
26151;4033477261519;Lesezeichen mit Band Miezekatzen;14.4;1.2
26152;4033477261526;Lesezeichen mit Band Pferdezauber;14.4;1.2
26153;4033477261533;Lesezeichen mit Band Lesefuchs;14.4;1.2
26154;4033477261540;Lesezeichen mit Band Alphabet;14.4;1.2
26155;4033477261557;Lesezeichen mit Band Superhero;14.4;1.2
26156;4033477261564;Lesezeichen mit Band Flowers & Dots;14.4;1.2
26159;4033477261595;Tagebuch Dots;12.18;6.09
26160;4033477261601;Lesezeichen mit Band Leseeule;14.4;1.2
26161;4033477261618;Lesezeichen mit Band Meerjungfrau;14.4;1.2
26162;4033477261625;Lesezeichen mit Band Monster;14.4;1.2
26163;4033477261632;Radierer Bunte Stifte;21.6;0.9
26164;4033477261649;Bunte Steck-Radierer;27.96;2.33
26165;4033477261656;Puzzle-Cube Radierer ;28.32;1.18
26166;4033477261663;Lama-Bleistift mit Radierer;32.64;1.36
26167;4033477261670;Pony-Bleistift mit Radierer;27.6;1.15
26168;4033477261687;Puschel-Kugelschreiber;16.68;1.39
26169;4033477261694;Kugelschreiber Kleine Nixe;23.16;1.93
26171;4033477261717;Glitzer-Dekokleber;16.32;1.36
26172;4033477261724;Kugelschreiber Rainbow-Glitter;21.76;1.36
26173;4033477261731;Notizbuch mit glitzernden Wendepailletten;16.84;4.21
26174;4033477261748;Mäppchen mit glitzernden Wendepailletten;13.56;3.39
26175;4033477261755;Deko-Tape Glitter;24.48;1.36
26177;4033477261779;Hai-Radierer;27.6;1.15
26178;4033477261786;Geheimcodestift Kamera;21.96;1.83
26179;4033477261793;Lese Buddy - Das multifunktionale Leselicht pink;18.93;6.31
26180;4033477261809;Lese Buddy - Das multifunktionale Leselicht blau;18.93;6.31
26181;4033477261816;Regenbogen Deko-Tape ;26.16;3.27
26182;4033477261823;Regenbogen Radierer;21.96;1.83
26183;4033477261830;Regenbogen Kugelschreiber;22.32;1.86
26184;4033477261847;Regenbogen Gelstifte;27.96;2.33
26185;4033477261854;Radierset Meerjungfrau;33.48;1.86
26187;4033477261878;Glitzer-Kugelschreiber;27.96;2.33
26188;4033477261885;Notizbuch A6 mit Wendepailletten;34.8;2.9
26189;4033477261892;Lesezeichen mit Band Schulstart;14.4;1.2
26190;4033477261908;Lesezeichen mit Band Space;14.4;1.2
26191;4033477261915;Kugelschreiber Regenbogen-Anhänger;32.94;1.83
26192;4033477261922;Regenbogen Krims-Krams-Täschchen;9.32;2.33
26193;4033477261939;Astronauten-Radierer;33.36;1.39
