Artikelnummer;EAN;Bezeichnung;Netto
38361;4001190383610;Never let You go BeastsTo;23.8
38367;4001190383672;Bär Patchwork Sweety;14.5
38368;4001190383689;Fuchs Patchwork Sweety;14.5
38370;4001190383702;Katze Patchwork Sweety;14.5
38371;4001190383719;Pferd Patchwork Sweety;14.5
38372;4001190383726;Elefant Patchwork Sweety;14.5
38374;4001190383740;Löwe Patchwork Sweety;14.5
38375;4001190383757;Hund Patchwork Sweety;14.5
38377;4001190383771;Tiger Patchwork Sweety;14.5
38380;4001190383801;Karriere Sau BeastsTown;26.2
38410;4001190384105;Ever Clever BeastsTown;19.05
38415;4001190384150;I waas nix BeastsTown;23.8
38436;4001190384365;Katze Patchwork Sweety;13.35
38456;4001190384563;Fritten Fritze BeastsTown;23.8
38457;4001190384570;Bloody Marie BeastsTown;23.8
38479;4001190384792;Tuff Sheep BeastsTown;23.8
38482;4001190384822;Doodle Donkey BeastsTown;23.8
38488;4001190384884;Uni Que L BeastsTown;28.6
38523;4001190385232;Hase Ach Good! & Friends;19.05
38524;4001190385249;Mini Hase Ach Good! & Fri;11.9
38535;4001190385355;Mutt Mutty BeastsTown;14.5
38575;4001190385751;Mini Granulat Bär Sweety;3.8
38576;4001190385768;Mini Granulat Hase Sweety;3.8
38606;4001190386062;LaLa Langeweile BeastsTow;19.05
38642;4001190386420;Lost and Found BeatsTown;28.6
38675;4001190386758;Duchess of Hampershire Be;30.95
38685;4001190386857;Schnuffeltuch Folunder Fr;10.95
38692;4001190386925;Känguru Patchwork Sweety;16.7
38693;4001190386932;Maus Patchwork Sweety;14.5
38694;4001190386949;Frosch Patchwork Sweety;14.5
38701;4001190387014;Elefant Ach Good! & Frien;19.05
38707;4001190387076;Eule Patchwork Sweety;13.35
38709;4001190387090;Elefant Patchwork Sweety;14.5
38711;4001190387113;Drache Patchwork Sweety;14.5
38715;4001190387151;Brave Hair BeastsTown;28.6
38719;4001190387199;Mini Elefant Ach Good! &;11.9
38720;4001190387205;Kuh Ach Good! & Friends;19.05
38721;4001190387212;Mini Kuh Ach Good! & Frie;11.9
38722;4001190387229;Hund Ach Good! & Friends;19.05
38723;4001190387236;Mini Hund Ach Good! & Fri;11.9
38727;4001190387274;Hariry Queeny BeastsTown;19.05
38729;4001190387298;Kuschelt. Hund Beste Freu;11.9
38730;4001190387304;Kuschelt. Bär Beste Freun;11.9
38731;4001190387311;Kuschelt. Elef. Beste Fre;11.9
38732;4001190387328;Kuschelt. Hase Beste Freu;11.9
38741;4001190387410;Mon Key BeastsTown;23.8
38744;4001190387441;Pferd XXL Patchwork Sweet;57.5
38745;4001190387458;Fuchs XXL Patchwork Sweet;57.5
38748;4001190387489;Elefant XXL Patchwork Swe;57.5
38764;4001190387649;Kuscheltier Hund Green;18.1
38767;4001190387670;Kuscheltier Pferd Green;18.1
38768;4001190387687;Kuscheltier Bär Green;16.7
38781;4001190387816;Kuscheltier Fuchs Green;14.5
38784;4001190387847;Spieluhr Die rosa Fine;16.7
38785;4001190387854;Schnuffeltuch Die rosa Fi;10.95
38791;4001190387915;Spieluhr Der blaue Fips;16.7
38792;4001190387922;Schnuffeltuch Der blaue F;10.95
38808;4001190388080;Trüffel Rüffel BeastsTown;23.8
38809;4001190388097;Aligatissimo BeastsTown;23.8
38811;4001190388110;Hase Bux Buxtehude klein;11.9
38812;4001190388127;Hund Glen Glattstett groß;19.05
38813;4001190388134;Hase Bux Buxtehude groß;19.05
38819;4001190388196;Mini Granulat Hund Sweety;3.8
38820;4001190388202;Mini Granulat Kroko Sweet;3.8
38821;4001190388219;Mini Granulat Fuchs Sweet;3.8
38822;4001190388226;Mini Granulat Schaf Sweet;3.8
