Artikelnummer;Artikelbezeichnung;EAN;Netto
634406;Washi-Tape 15mm x 10m        ;4001868053364;1.5
634407;Washi-Tape 15mm x 10m        ;4001868053449;1.5
634409;Washi-Tape 15mm x 10m        ;4001868053098;1.5
634410;Washi-Tape 15mm x 10m        ;4001868053296;1.5
634411;Washi-Tape 15mm x 10m        ;4001868053203;1.5
634413;Washi-Tape 15mm x 10m        ;4001868053333;1.5
634414;Washi-Tape 15mm x 10m        ;4001868053289;1.5
634415;Washi-Tape 15mm x 10m        ;4001868053388;1.5
634416;Washi-Tape 15mm x 10m        ;4001868053418;1.5
634417;Washi-Tape 15mm x 10m        ;4001868053531;1.5
634419;Washi-Tape 15mm x 10m        ;4001868053319;1.5
634422;Washi-Tape 15mm x 10m        ;4001868052930;1.5
634431;Washi-Tape 15mm x 10m        ;4001868053029;1.5
634432;Washi-Tape 15mm x 10m        ;4001868053036;1.5
634433;Washi-Tape 15mm x 10m        ;4001868053043;1.5
634434;Washi-Tape 15mm x 10m        ;4001868053050;1.5
634441;Washi-Tape 15mm x 10m        ;4001868053142;1.5
634451;Washi-Tape 15mm x 10m        ;4001868053326;1.5
634452;Washi-Tape 15mm x 10m        ;4001868053340;1.5
634455;Washi-Tape 15mm x 10m        ;4001868053401;1.5
634457;Washi-Tape 15mm x 10m        ;4001868053432;1.5
640337;KREUL Magic Marble           ;4000798736002;7.45
641068;Tattoo Gelstifte Glitzer     ;4032722920935;2.27
641273;Faltblätter Mini 7,5x7,5     ;4001868032031;2.2
641832;KREUL Acryl Glanzfarbe       ;4000798796006;7.29
644137;Schminkset Motiv, Glitzer    ;4028362912348;3.88
644143;Schminkpalette 6 Farben      ;4028362206003;7.92
644183;Feinporige Schwämmchen       ;4028362990131;2.73
646372;KREUL Schmucksteine Set      ;4000798496418;5.25
646375;KREUL Schmucksteine Set      ;4000798496449;5.25
731090;Ostereier Blas Fix           ;4052400600928;2.79
863215;Ballons Confetti 8 Stück     ;4003359489249;2.6
901104;Taschenwärmer Elch           ;4012825153218;0.99
950116;Radierer Handy Collection    ;4032722934352;0.62
950494;Buntstifte Jumbo Grip        ;4005401109068;5.18
950495;Buntstifte Jumbo Grip        ;4005401109129;8.79
950501;Radierer Grip 2001           ;4005401870005;0.62
950641;Yoyo mit Kugellager und      ;4029811253203;0.99
950936;Stempelkissen                ;4032722933508;0.8
3000750;Gabelstapler die Cast        ;8713219276273;4.89
3310859;Mbx 1:75 Fahrzeuge           ;27084086263;1.34
3311817;Matchbox 5er Geschenkset     ;27084092950;6.7
3311835;Verkehrsschilder/Ampel       ;8713219245040;3.49
