Artikelnummer;Artikelbezeichnung;EAN;Netto
39107;Schnuffelt. Eisbär Green     ;4001190391073;13.35
39108;Schnuffeltuch Eber Green     ;4001190391080;13.35
39118;Mama Makaka- Beasts          ;4001190391189;23.8
39126;Eule Patchwork Sweety        ;4001190391264;16.7
39127;Schaf Patchwork Sweety       ;4001190391271;16.7
39132;Uncle Jungle- Beasts         ;4001190391325;23.8
39134;Snow Patrol- Beasts..        ;4001190391349;21.45
39135;King Bombastic- Beasts       ;4001190391356;28.6
39142;Spielfigur Debby Dumb        ;4001190391424;11.9
39143;Schnuffeltuch Debby Dumb     ;4001190391431;10.95
39144;Mini-Schnuffeltuch Debby..   ;4001190391448;8.6
39145;Spieluhr Debby Dumb          ;4001190391455;15.75
39146;Rassel Debby Dumb            ;4001190391462;7.15
39148;Schnuffelt Flecken Frog      ;4001190391486;10.95
39149;Mini-Schnuffelt Flecken F..  ;4001190391493;8.6
39152;Battery Bat- Beasts          ;4001190391523;21.45
39156;I'm on fire- Beasts          ;4001190391561;23.8
39157;Bonsai's Brother- Beasts     ;4001190391578;23.8
39159;Smart Smudge- Beasts         ;4001190391592;19.05
39161;Quck & Dirty- Beasts         ;4001190391615;23.8
39162;Rosi Romadur- Beasts         ;4001190391622;23.8
39164;Luxury Lux- Beasts           ;4001190391646;19.05
39165;Gulli Gallo- Beasts          ;4001190391653;21.45
39166;Game Over- Beasts..          ;4001190391660;23.8
39167;Rhino Nino- Beasts           ;4001190391677;23.8
39168;Longnose Hose- Beasts        ;4001190391684;26.2
39169;Sweet Teeth- Beasts          ;4001190391691;23.8
39170;Black Sheepy- Beasts         ;4001190391707;22.85
39171;Spielfigur Dachs Green       ;4001190391714;14.5
39172;Spieluhr Dachs Green         ;4001190391721;19.05
39173;Schnuffeltuch Dachs Green    ;4001190391738;13.35
39174;Greifling Dachs Green        ;4001190391745;10.95
39175;Greifling Hase oran Green    ;4001190391752;7.65
39176;Greifling Hase ecru Green    ;4001190391769;7.65
39177;Greifling Hase blau Green    ;4001190391776;7.65
39178;Greifling Hase hbr Green     ;4001190391783;7.65
39179;Greifling Hase br Green      ;4001190391790;7.65
39180;Dotty Dot- Beasts            ;4001190391806;28.6
39181;Lazy Bunny- Beasts..         ;4001190391813;23.8
39182;Zicken Ziege- BeastsTown     ;4001190391820;26.2
39183;Lady Hairy Mary- Beasts      ;4001190391837;19.05
39184;The Race Winner- Beasts      ;4001190391844;23.8
39185;Fuchs Sweety                 ;4001190391851;19.05
39186;Hase Sweety                  ;4001190391868;19.05
39187;Schnuffelt. Tiger Green      ;4001190391875;13.35
39188;Greifling Tiger Green        ;4001190391882;8.6
39189;Schnuffelt. Frosch Green     ;4001190391899;13.35
